번호,행정동,법정동/리,고택명,소재지,분야,설립년도,창건자,소유자,관리자,구조,문화재 지정,숙박 여부,별칭,중복의심
33,용상동,성곡동,서운정,안동시 성곡동 민속촌길 190 (전통리조트 구름에),정자,1800년대,이언순,고성이씨 문중,재단법인 행복전통마을,"3X1, 'ㅡ'자형, 홑처마, 팔작지붕",비지정,X,,False
34,용상동,성곡동,선성현 객사,안동시 성곡동 민속촌길 13,관아,미상 / 1712년(재건),미상 / 김성유 (재건),안동시,안동시립박물관 (오순남 주무관),"11X3, 'ㅡ'자형, 팔작지붕+맞배지붕",경북 유형문화재,X,,False
35,용상동,성곡동,성곡동 까치구멍집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),ㅁ'자형,안동시 문화유산,X,,False
36,용상동,성곡동,성곡동 돌담집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),,비지정,X,,False
37,용상동,성곡동,안동 동산서원,안동시 성곡동 민속촌길 190 (한자마을 뒷편),서원,1962년,미상,천형근,천형근,,비지정,X,,False
38,용상동,성곡동,안동 사월동 초가토담집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),"6X1, 'ㅡ'자형",경북 민속문화재,X,,False
39,용상동,성곡동,안동 의촌동 초가도토마리집,안동시 성곡동 민속촌길 13,주거가옥,일제강점기,미상,안동시,안동시립박물관 (오순남 주무관),"4X1, 'ㅡ'자형",경북 민속문화재,X,,False
40,용상동,성곡동,애련정,안동시 성곡동 민속촌길 190 (구인당 앞),정자,1516,이우,안동시,안동시립박물관 (오순남 주무관),,안동시 문화유산,X,,False
41,용상동,성곡동,이원모와가,안동시 성곡동 민속촌길 13,주거가옥,19세기 이후 추정,미상,안동시,안동시립박물관 (오순남 주무관),"정침: 5X5, 튼 'ㅁ'자형 고방채: 2X1 사당",안동시 문화유산,X,,False
42,용상동,성곡동,이춘백 초가,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),"4X1, 'ㄱ'자형",안동시 문화유산,X,,False
43,용상동,성곡동,칠곡고택,안동시 성곡동 민속촌길 190 (전통리조트 구름에),주거가옥,1831년,미상,안동시,재단법인 행복전통마을,ㅁ'자형 건물 ('ㅡ'자형 사랑채 + 'ㄷ'자형 안채),안동시 문화유산,O,,False
44,용상동,성곡동,토계동 계남고택,안동시 성곡동 민속촌길 190 (전통리조트 구름에),주거가옥,1800년대 추정,미상,안동시,재단법인 행복전통마을,"7X7, 'ㅁ'자형 ,홑처마, 팔작지붕",안동시 문화유산,O,계남댁,False
45,용상동,성곡동,팔회당재사,안동시 성곡동 민속촌길 190 (전통리조트 구름에),재사,1740년,이원미,안동시,재단법인 행복전통마을,"튼 'ㅁ'자형 안채: 4X3, 'ㄷ'자형 문간채: 5X1. 'ㅡ'자형, 맞배지붕",안동시 문화유산,O,고성이씨 성곡재사,False
46,용상동,송천동,안동 흥해배씨 임연재종택,안동시 송천동 향교1길 51,주거가옥,미상,미상,배찬일,배찬일,"본채: 5X6, 'ㅁ'자형, 홑처마, 맞배지붕 금역당: 4X2, 'ㅡ'자형, 겹처마, 팔작지붕 사당: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕",경북 유형문화재,O,"금역당사당 및 종가, 백죽고택",False
47,용상동,송천동,안동향교,안동시 송천동 향교길 65,향교,고려시대 / 1983년(중건),미상,,전교백,강당(대성전) 강당(명륜당) 동서재 청아루 주사,안동시 문화유산,X,,False
48,용상동,송천동,역동서원,안동시 송천동 경동로 1375 (생활과학관 옆),서원,1570년 / 1969년(복원),이황,단양우씨문중 우병두유사,안동대박물관조규복,"강당: 5X2, 홑첨, 팔작지붕 사당: 3X2 동서재: 3X1.5, 홑처마, 맞배지붕",경북 기념물,X,,False
49,용상동,송천동,은곡서당,안동시 송천동 석동길 38,서당,1537년,박진,반남박씨문중,박용성,"튼 'ㅁ'자형 서당채: 4X2, 'ㅡ'자형, 팔작기와집 문간채: 7X3, 'ㄷ'자형",비지정,X,,False
50,용상동,송천동,읍취정,안동시 송천동 산 30-1 (모감주나무 뒷편),정자,조선중기 / 1980년(중건),정영방,,동래정씨 석문공파문중,,비지정,X,,False
51,용상동,송천동,이태형고택,안동시 송천동 향교1길 27-33,주거가옥,1710년,이원보,박정환,박정환,"튼 'ㅁ'자형 안채: 4X3, 'ㄷ'자형, 홑처마, 맞배지붕 사랑채: 4X1.5, 'ㅡ'자형, 홑처마, 팔작지붕",경북 문화재자료,X,"고성이씨 지례종택, 인화당",False
52,용상동,송천동,표암정,안동시 송천동 석동길 34,정자,미상 / 1929년(중수),반남박씨 문중,,,"3X1.5, 팔작지붕",비지정,X,반남박씨 재실,False
53,용상동,송천동,하락정,안동시 송천동 송천길97-7,정자,1913년,송기식,,진천송씨 교하공문중,"4X2, 겹처마, 팔작지붕",비지정,X,,False
54,용상동,용상동,용강서원,안동시 용상동 숲쟁이길 23-3,서원,1671년 / 1975년(복원),안동 유림,용강서원,용강서원 승문당 (박물관),모덕사: 3X1 숭문당: 3X1 동서재: 3X1 전사청: 2X1 주소: 3X2,비지정,X,,False
55,중구동,목성동,안동김씨종회소,안동시 목성동 서동문로 141 (대원사 옆),주거가옥,1770년,안동김씨 문중,안동김태사종중,안동김태사종중,3X2,경북 문화재자료,X,,False
56,중구동,법흥동,안동 고성이씨 탑동파 종택,안동시 법흥동 임청각길 103,주거가옥,1704년,"이후식, 이원미, 이종주",이효근,이효근,"안채: 8X6, 'ㅂ'자형 사랑채: 2X2 영묘당: 2X2X2.5 북정: 3X2, '丁'자형, 겹처마, 팔작지붕 사당: 3X1, 'ㅡ'자형 산천정사",국가민속문화재,O,탑동종택,False
57,중구동,법흥동,이가당,안동시 법흥동 임청각길 31-5,정자,조선후기,이시방,,,"3X2, 겹처마, 팔작지붕",비지정,X,,False
58,중구동,법흥동,임청각,안동시 법흥동 임청각길 63,주거가옥,1519년,이명,고성이씨문중,이항증,"정침: '用'자형, 홑처마, 맞배지붕 군자정: 4X2, '丁'자형, 홑처마, 팔작지붕",보물,O,,False
59,중구동,북문동,안동 태사묘,안동시 북문동 태사길 13,사당,1542년 / 1960년(재건),김광철,,태사묘 총무,"태사묘: 3X2, 'ㅡ'자형, 홑처마, 맞배지붕 경모루: 3X2, 'ㅡ'자형, 홑처마, 팔작지붕 숭보당: 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 동서재: 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 안묘당: 2X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 기념물,X,,False
60,중구동,옥정동,국담헌,안동시 옥정동 북문옥정길 51,주거가옥,미상,미상,,,"4X3, 'ㅁ'자형",비지정,X,권참사 가옥,False
61,중구동,옥정동,옥정당,안동시 옥정동 태사길 53-22,주거가옥,미상 / 2009년(보수),미상,,김득년,,비지정,O,,False
62,태화동,태화동,서악사,안동시 태화동 서악길 67-14,사찰,통일신라 후기 추정,도선,,서악사,"극락전: 3X2, 겹처마, 맞배지붕 천불전: 3x3, 다포계, 팔작지붕",비지정,X,,False
63,태화동,태화동,안동 관왕묘,안동시 태화동 서악길 67-6,사당,1598년,설호신 (쉬후첸),국가,안동시,"사당: 3X3, 'ㅡ'자형, 겹처마, 팔작지붕 광감루: 4X3, 'ㅡ'자형, 겹처마, 맞배지붕 동재: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕 서재: 4X2, 'ㄱ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
64,태화동,태화동,이육사 생가,안동시 태화동 포도길 8,주거가옥,미상,미상,이옥비,홍민표,"4X1, 'ㅡ'자형, 홑처마, 팔작지붕+맞배지붕",경북 민속문화재,X,,False
65,태화동,태화동,일원정,안동시 태화동 어가골길 37-6,정자,1935년 / 2007년(중수),안동권씨 문중,안동권씨 부호장공파,,"5X2, 팔작지붕",비지정,X,,False
66,태화동,태화동,효선정,안동시 태화동 말구리2길 46-21,주거가옥,미상,미상,,,"4X2, 팔작지붕",비지정,X,광덕정,False
67,길안면,구수리,송정,안동시 길안면 수곡용계로 30-13,정자,1679년,김태중,의성김씨 문중,김시형,"4X2, 'ㅡ'자형, 겹처마, 팔작지붕",경북 문화재자료,X,,False
68,길안면,구수리,안동세덕사,안동시 길안면 박실골길 8,사당,1699년,탁순창,,이재은,"강당(추원당): 5X2, 'ㅡ'자형, 홑처마 팔작지붕 사당(세덕사): 3X2, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,X,,False
69,길안면,구수리,영광재,안동시 길안면 수곡용계로 280-14,정자,미상,미상,,,,비지정,X,,False
70,길안면,구수리,학운재,안동시 길안면 길안청송로 693-9,주거가옥,미상,미상,,,,비지정,X,,False
71,길안면,금곡리,안동김씨 지곡재,안동시 길안면 미내소일길 42-17,재사,1890년대 / 1961년(중건),미상,,,"4x2, 'ㅡ'자형,",비지정,X,,False
72,길안면,금곡리,용담사,안동시 길안면 미내소일길 138,사찰,664년 / 1574년(중건),화엄화상,용담사,용담사,"무량전: 3X2, 맞매지붕 화엄강당: 8X3, 'ㅡ'자형, 겹처마, 팔작지붕",경북 문화재자료,X,"무랑전, 화엄강당",False
73,길안면,금곡리,의성김씨 미천재사,안동시 길안면 미내소일길41-4,재사,1765~1798년 사이 추정,의성김씨 문중,,,"강당: 3x2, 'ㅡ'자형 팔작지붕 주사채: 3x2, 'ㅡ'자형 팔작지붕",비지정,X,금학산강당,False
74,길안면,대사리,대은정,안동시 길안면 대사로 723-9,정자,미상,단양우씨 문중,단양우씨 대은공종중,,"3X1, 홑처마, 팔작지붕",안동시 문화유산,X,,False
75,길안면,대사리,산천재,안동시 길안면 토일길 21,주거가옥,미상,미상,,권오중,,비지정,X,,False
76,길안면,묵계리,낙빈정,안동시 길안면 오락길 107,정자,미상,안동김씨 문중,,,"3x2, 겹처마, 팔작지붕",비지정,X,,False
77,길안면,묵계리,돈수재,안동시 길안면 오락길 84-5,주거가옥,"미상 / 1818년(재건), 1949년(중건)",,,,5x2,안동시 문화유산,X,,False
78,길안면,묵계리,만휴정,안동시 길안면 묵계하리길 42,정자,1770년,김계행,김정기,안동시,"3X2, 누마루형식",경북 문화재자료,X,,False
79,길안면,묵계리,묵계서원,안동시 길안면 국만리길 70,서원,1687년 / 1925년(복원),미상,김정기,김정기,"강당: 5X2, 'ㅡ'자형, 겹처마, 팔작지붕 주사: 6X5, 'ㅁ'자형, 겹처마, 팔작지붕",경북 민속문화재,O,,False
80,길안면,묵계리,안동김씨 달수재,안동시 길안면 묵계중리길 141-6,재사,1732년 / 1806년(중건),미상,,,"5x8, 'ㅁ'자형 강당: 5x2, 'ㅡ'자형, 팔작지붕 안채: 5칸, 'ㅡ'자형, 팔작지붕 좌익사,우익사: 5칸, 맞배지붕",비지정,X,,False
81,길안면,묵계리,안동김씨 돈목당,안동시 길안면 오락길 82,주거가옥,1960년,미상,돈수공종중,김운동,,비지정,X,,False
82,길안면,묵계리,안동김씨 묵계종택,안동시 길안면 충효로 1736-5,주거가옥,미상,미상,김정기,김정기,"정침: 6X6, 'ㅁ'자형, 겹처마, 팔작지붕 별당(보백당): 3X2, 'ㅡ'자형, 겹처마, 팔작지붕 가묘: 3X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 민속문화재,O,보백당 종택,False
83,길안면,묵계리,일산고택,안동시 길안면 선항길 17,주거가옥,미상,미상,,,,안동시 문화유산,X,,False
84,길안면,용계리,약계정,안동시 길안면 용계은행나무길 371-15,정사,미상,미상,권오원,권광혁,"3X2, 홑처마, 팔작지붕",경북 문화재자료,X,돈수재,False
85,길안면,천지리,경안재,안동시 길안면 산하리길 2-5,정자,미상,미상,,,,비지정,X,,False
86,길안면,천지리,선찰사,안동시 길안면 웃장터길 91-17,사찰,"신라시대 / 1949년(소실), 2017년(개축)",미상,,,,비지정,X,,False
87,길안면,현하리,농산정,안동시 길안면 의성길안로 2400-7,정자,미상,미상,,,,비지정,X,,False
88,길안면,현하리,두릉구택,안동시 길안면 현곡길 14-4,주거가옥,1890년,정원달,정승기,권기옥,"몸채: 6X5, 'ㅁ'자형, 팔작지붕 아래채: 3X1, 'ㅡ'자형, 홑처마, 팔작지붕 사랑채: 2X2, 'ㅡ'자형, 홑처마, 팔작지붕",경북 문화재자료,O,두릉고택,False
89,길안면,현하리,두산고택,안동시 길안면 현곡길 10-3,주거가옥,19세기 후반,정성관,정용익,정용익,"5X2.5, 'ㄷ'자형, 맞배 지붕",경북 문화재자료,X,,False
90,남선면,구미리,귀은정,안동시 남선면 구미음지마길 16,정자,1958년,안동김씨 문중,,,,비지정,X,,False
91,남선면,구미리,의성김씨 박일재,안동시 남선면 백일길 91,재사,조선후기 / 1990(재건),안동김씨 문중,,,"5X2, 겹처마, 팔작지붕",비지정,X,,False
92,남선면,신석리,봉강영당,안동시 남선면 신평길 71-7,사당,미상,미상,,,,비지정,X,,False
93,남선면,외하리,남갈정,안동시 남선면 외하새터길 7-1,정자,1976년,일직손씨 문중,,,"3X2, ""ㅡ'자형, 홑처마 팔작지붕",비지정,X,,False
94,남선면,원림리,남분지 고택,안동시 남선면 선나무길 23-4,주거가옥,미상,영양남씨 문중,영양남씨 문중,성정욱,,비지정,X,남비지 고택,False
95,남선면,이천리,흥해배씨 녹사공재사,안동시 남선면 뱁실길 36-8,재사,1950년대 추정,흥해배씨 문중,,,"3X3, 'ㄱ'자형, 겹처마, 팔작지붕",비지정,X,록사공재사,False
96,남선면,현내리,산천정사 및 고성이씨 재사,안동시 남선면 현내중앙길 29,재사,"미상(재사), 1939년(산천정사)",고성이씨 문중,고성이씨 문중,안동시,"재사: 4X5 ,'ㅁ'자형, 홑처마, 팔작지붕 정자(산천정사): 3X1.5, 홑처마, 팔작지붕",안동시 문화유산,X,,False
97,남후면,검암리,마령동 기와까치구멍집,안동시 남후면 검바우길 28-3,주거가옥,미상,미상,,,"3X2, 'ㅁ'자형, 홑처마, 팔작지붕",경북 민속문화재,X,,False
98,남후면,검암리,모운사,안동시 남후면 모운사길 83,사찰,미상 / 1842년(중수),미상,모운사,모운사,"백화전: 3X2, 겹처마, 맞배지붕 요사채: 3X2, 맞배지붕",비지정,X,,False
99,남후면,검암리,함경당,안동시 남후면 배고개길 211-14,재사,미상,미상,강혁모,안동시,,안동시 문화유산,X,신천강씨 검암재사,False
100,남후면,고하리,시향정,안동시 남후면 고하서당길 9-61,정자,미상,미상,,,,비지정,X,,False
101,남후면,광음리,고산서원,안동시 남후면 암산1길 53-1,서원,1789년,지방 유림,한산이씨문중,이방수,"강당(호인당):5X2, 팔작지붕 사당(경행사): 3X2, 맞배지붕 동재/서재: 6X1 서고(백승각): ‘工’자 지붕, 팔작지붕 전사청 관리사 정자(고산정사): 3X1",경북 기념물,O,,False
102,남후면,단호리,낙암정,안동시 남후면 풍산단호로 895,정자,"1451년 / 1881년, 1955년(중수)",배환,흥해배씨문중,배인섭,"3X2, 홑처마 팔작지붕",경북 문화재자료,X,,False
103,남후면,단호리,낙은정,안동시 남후면 화현길 36-6 (길 안쪽),정자,미상 / 1978년 (중건),권공,,,3X1,비지정,X,남후면,False
104,남후면,단호리,안동 낙강정,안동시 남후면 풍산단호로 835-43,정자,미상,권예,권용주,권용주,"3X2, 홑처마 팔작지붕",경북 문화재자료,X,,False
105,남후면,단호리,우모재,안동시 남후면 화현길 29-7,정자,미상,미상,,,,비지정,X,,False
106,남후면,무릉리,후산정사,안동시 남후면 묵느무길 27-6,정자,1780년,이종수,이봉기,,"3X2, 'ㅡ'자형 홑처마, 팔작지붕,",경북 문화재자료,X,,False
107,남후면,하아리,안동김씨 낙애공 대명당소재사,안동시 남후면 아곡길 817-4 (왼쪽 길로 이동),재사,미상,안동김씨 문중,,,"5X4, 'ㅁ'자형",비지정,X,,False
108,녹전면,갈현리,영모정,안동시 녹전면 사갈길 295-30,정자,미상,평택임씨 문중,평택임씨 문중,평택임씨 문중,,비지정,X,갈현리,False
109,녹전면,녹래리,일출사,안동시 녹전면 일출길 207,사찰,신라시대 / 1945년(중건),의상대사,일출사,일출사,"대웅전: 3x2, 겹처마, 맞배지붕 요사: 5x2, 슬레이트 지붕",비지정,X,,False
110,녹전면,사신리,격양정,안동시 녹전면 사신길 29-10,정자,1562년 / 1983년(복원),박사희,함양박씨 묵재종중,박용갑,"5X2, 'ㅡ'자형",비지정,X,,False
111,녹전면,사신리,마곡서당,안동시 녹전면 사신길 329-6,서원,1602년,지방 사림,박용갑,박용갑,,비지정,X,,False
112,녹전면,사신리,세천정,안동시 녹전면 사천노루목길 55-9,정자,미상,미상,,,,비지정,X,,False
113,녹전면,사신리,영모정,안동시 녹전면 가야안길 5-24,정자,조선후기,진성이씨 문중,진성이씨 문중,진성이씨 문중,ㅡ'자형,안동시 문화유산,X,사신리,False
114,녹전면,서삼리,복초당,안동시 녹전면 모란안길 14,정자,미상,미상,,,,비지정,X,,False
115,녹전면,서삼리,영천이씨 능곡재사,안동시 녹전면 하이전길 39,재사,미상,영천이씨 문중,,,,비지정,X,,False
116,녹전면,서삼리,영천이씨 사천재사,안동시 녹전면 서삼길 403,재사,미상,영천이씨 문중,,,,비지정,X,,False
117,녹전면,서삼리,추원재,안동시 녹전면 서삼길 401,재사,미상 / 1992년(중수),영천이씨 문중,영천이씨 문중,지원순,"4X2, 팔작기와",비지정,X,녹전면,False
118,녹전면,신평리,강릉최씨 봉숭재,안동시 녹전면 방하길 46-20,재사,미상 / 1996년(개수),미상,,,,비지정,X,,False
119,녹전면,신평리,의성김씨 영사재,안동시 녹전면 삼대길 31-20,재사,미상 / 1919년(개수),미상,,,,비지정,X,,False
120,녹전면,신평리,의성김씨 원사암,안동시 녹전면 녹전로 752-41,재사,미상 / 1865년,유음,김종구,김종구 종부,"5X2, 'ㅡ'자형, 홑처마, 팔작지붕,",경북 민속문화재,X,,False
121,녹전면,신평리,의성김씨 삼대종택,안동시 녹전면 삼대길 31-50,주거가옥,미상,미상,김종구,김종구 종부,"튼'ㅁ'자형 재사: 4X2, 'ㅡ'자형, 홑처마, 박공지붕 주사: 6X4, 'ㄷ'자형, 팔작지붕",비지정,X,둔번초당,False
122,녹전면,원천리,백원정,안동시 녹전면 구억마을길 9,정자,미상,미상,,,,백원정,X,,False
123,녹전면,원천리,영모암,안동시 녹전면 원천어란길 112,재사,19세기 말 추정,영천이씨 문중,영천이씨문중,이승영,"5X2, 겹처마, 팔작지붕",비지정 (지정해제),X,,False
124,녹전면,원천리,영천이씨 간재종택,안동시 녹전면 외내1길 12,주거가옥,미상,미상,이승영,이승영,"6X5, 'ㅁ'자형, 사랑채: 3X1 사당: 3X1, 맞배지붕",비지정,O,"선오당종택, 선우당",False
125,녹전면,원천리,읍춘정,안동시 녹전면 외내1길 20-5,정자,1901년,이세갑,,,,비지정,X,,False
126,녹전면,원천리,이승렬 가옥,안동시 녹전면 외내1길 6,주거가옥,미상,미상,이기원,이유성열쇠,"5X4.5, 'ㅁ'자형",비지정,X,,False
127,녹전면,원천리,청천와,안동시 녹전면 외내1길 6,정자,조선후기,이영전,영천이씨 문중,이승영,,비지정,X,,False
128,녹전면,원천리,침산정,안동시 녹전면 외내2길 9-3,정자,미상,미상,,,,비지정,X,,False
129,녹전면,죽송리,광산김씨 능동재사,안동시 녹전면 죽송길 103-7,재사,미상,광산김씨 문중,광산김씨 문중,이종태,"재사: 5X2, 'ㅡ'자형, 홑처마, 팔작지붕 대문채: 5X1, 솟을대문",안동시 문화유산,X,구 능동재사 포함,False
130,녹전면,죽송리,음수재,안동시 녹전면 죽송길 115-5,재사,미상 / 2000년 (중수),안동김씨 문중,안동김씨 대종회,이종태,"강당: 5X2, 겹처마, 팔작지붕 사당: 3X1.5, 맞배지붕 대문채; 5X1, 솟을대문",비지정,X,안동김씨 능동재사,False
131,녹전면,죽송리,전주류씨 호암재사,안동시 녹전면 녹전로 588-17,재사,미상,전주류씨 문중,전주류씨 문중,김시묘,"5X5, 튼 'ㅁ'자형, 홑처마, 맞배지붕 윗채: 5X1, 'ㅡ'자형 아래채: 5X4, 'ㄷ'자형",경북 문화재자료,X,,False
132,도산면,가송리,분강서원 및 농암사당,안동시 도산면 가송길 162-133,서원,1613년,지방 유림,,이성원,"안채(한속정사) 바깥채(한속정사) 경서재 극복재 흥교당 농암사당: 3X3, 'ㅡ'자형, 홑처마, 맞배지붕",경북 유형문화재 (농암사당),O,,False
133,도산면,가송리,고산정,안동시 도산면 가송길 177-42,정자,미상,금난수,봉화금씨 문중,금세연,"정면3칸, 측면 2칸, 팔작기와",경북 유형문화재,X,,False
134,도산면,가송리,농암종택,안동시 도산면 가송길 162-168,주거가옥,1370년,이헌,,이성원,"사당 안채 사랑채 긍구당: 3X2.5, 'ㄴ'자형, 홑처마, 팔작지붕 사당: 3X1.5, 'ㅡ'자형, 홑처마, 팔작지붕 대문채",비지정,O,,False
135,도산면,가송리,애일당 및 강각,안동시 도산면 가송리 604,정자,1512년 / 1548(중건),이현보,,,"애일당: 4X2, 'ㅡ'자형, 겹처마, 팔작지붕 강각",경북 유형문화재 (애일당),O,,False
