구역,공식상호,공식연락처,골목위치,골목안내_영업시간,출처URL,상권데이터_매칭상호,상권_도로명주소
찜닭골목,위생찜닭,054-852-7411,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동위생찜닭,경상북도 안동시 번영1길 47
찜닭골목,원조안동찜닭,054-855-8903,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,원조안동찜닭,경상북도 안동시 번영1길 47
찜닭골목,사대부찜닭,054-858-8856,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동사대부찜닭,경상북도 안동시 번영1길 45
찜닭골목,대장금찜닭,054-852-9982,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동대장금찜닭,경상북도 안동시 번영1길 43
찜닭골목,제비원찜닭,054-855-9490,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,꼬꼬찜닭,054-852-4143,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,꼬끼요찜닭,경상북도 안동시 번영1길 51
찜닭골목,안동대가찜닭,054-856-7888,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,밀레니엄안동찜닭.안동대가찜닭,경상북도 안동시 번영길 9
찜닭골목,영가찜닭,054-854-3838,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동영가찜닭,경상북도 안동시 번영길 19
찜닭골목,양반찜닭,054-858-4455,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,안동양반찜닭,경상북도 안동시 번영길 19
찜닭골목,촌닭찜닭,054-841-7171,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,민속찜닭,054-853-9991,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,중앙찜닭,054-855-7272,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,중앙찜닭,경상북도 안동시 번영1길 51
찜닭골목,평화찜닭,054-853-9998,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,평화찜닭,경상북도 안동시 번영길 11
찜닭골목,종가찜닭,054-856-1313,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,종가찜닭,경상북도 안동시 번영길 11
찜닭골목,밀레니엄찜닭,054-855-5414,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,밀레니엄안동찜닭.안동대가찜닭,경상북도 안동시 번영길 9
찜닭골목,김대감찜닭,054-853-0449,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,김대감찜닭,경상북도 안동시 번영길 11
찜닭골목,구구찜닭,054-854-9999,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,구구찜닭,경상북도 안동시 번영길 9
찜닭골목,강남찜닭,054-854-3791,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
찜닭골목,명가찜닭,054-859-4481,안동시 번영1길 58-15,08:30~22:00,https://www.tourandong.com/public/sub3/sub1_3.cshtml,상권정보에서 미확인,
문화의거리,안동관,054-854-9933,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,안동관,경상북도 안동시 문화광장길 40-17
문화의거리,맘모스제과,054-857-6000,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,맘모스,경상북도 안동시 문화광장길 34
문화의거리,안동호텔,054-858-1166,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,상권정보에서 미확인,
문화의거리,아서원,054-854-2234,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,상권정보에서 미확인,
문화의거리,우리막창,054-856-6655,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,순우리막창,경상북도 안동시 경동로 321
문화의거리,버거킹,054-842-1177,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,버거킹안동 중앙점,경상북도 안동시 문화광장길 40-6
문화의거리,고려호텔,054-843-2000,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,상권정보에서 미확인,
문화의거리,베스킨라빈스,054-859-0031,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,베스킨라빈스 중앙점 | 베스킨라빈스안동옥동점 | 베스킨라빈스안동 홈플러스점,경상북도 안동시 남문로 22-15 | 경상북도 안동시 경북대로 423 | 경상북도 안동시 경동로 656
문화의거리,옥류관,054-853-8484,안동시 문화광장길,10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_3.cshtml,옥류관면옥,경상북도 안동시 문화광장길 40-11
한우갈비골목(참고),백조갈비,054-859-4988,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,백조갈비,경상북도 안동시 음식의길 13
한우갈비골목(참고),재림갈비,054-857-6352,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),안동본가갈비,054-859-8000,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,안동본가갈비,경상북도 안동시 음식의길 14
한우갈비골목(참고),구서울갈비,054-857-5981,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,구서울갈비,경상북도 안동시 음식의길 14
한우갈비골목(참고),우정숯불갈비,054-841-3727,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,우정숯불갈비,경상북도 안동시 음식의길 10
한우갈비골목(참고),대마갈비,054-857-7362,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),뉴서울갈비,054-843-1400,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,뉴서울갈비,경상북도 안동시 음식의길 10
한우갈비골목(참고),소문갈비,054-859-1200,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),시골갈비,054-857-6667,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,시골갈비식당,경상북도 안동시 음식의길 14
한우갈비골목(참고),거창갈비,054-857-8122,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,거창갈비,경상북도 안동시 음식의길 10
한우갈비골목(참고),명성갈비,054-855-1234,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),안동한우갈비,054-857-6337,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),안동촌갈비,054-855-1234,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
한우갈비골목(참고),동부숯불갈비,054-857-2707,안동시 음식의길(갈비골목),10:00~22:00,https://www.tourandong.com/public/sub3/sub1_3_2.cshtml,상권정보에서 미확인,
