표본번호,구역,상호,층화업종,상권업종중분류,상권업종소분류,도로명주소,법정동,층정보,전화번호,전화출처,인허가_사업장명,공식관광사이트_수록,공식수록_상호,골목안내_영업시간,점포별_영업시작,점포별_영업종료,21시이후영업,휴무일,조사일,조사요일,조사시간대,조사방법,조사자,상태,비고,경도,위도,상가업소번호
17,찜닭골목,신세계찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 10,남문동,,054-859-5484,안동시 공식관광 맛집투어 수록 연락처,신세계 찜닭,Y,신세계찜닭,08:30~22:00,09:30,21:00,N,연중무휴,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '안동신세계찜닭'(contentid 3432965, 수정일 2026-03-23) 원문: 09:30~21:00 (마지막 주문 19:50)",128.727589147063,36.5655073408782,MA0101202603A0026933
18,찜닭골목,김대감찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 11,서부동,,054-853-0449,안동시 공식관광 맛집투어 수록 연락처,김대감찜닭,Y,김대감찜닭,08:30~22:00,,,,,,,,,,,,128.727760251113,36.565667045798,MA010120220809249379
19,찜닭골목,종가찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 11,서부동,1,054-856-1313,안동시 공식관광 맛집투어 수록 연락처,종가찜닭,Y,종가찜닭,08:30~22:00,,,,,,,,,,,,128.727760251113,36.565667045798,MA010120220809261500
20,찜닭골목,평화찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 11,서부동,,054-853-9998,안동시 공식관광 맛집투어 수록 연락처,평화찜닭,Y,평화찜닭,08:30~22:00,,,,,,,,,,,,128.727760251113,36.565667045798,MA010120220809257864
21,찜닭골목,우정찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 12,남문동,1,054-854-0507,안동시 공식관광 맛집투어 수록 연락처,우정찜닭,Y,우정찜닭,08:30~22:00,,,,,,,,,,,,128.72768863915,36.5654608473275,MA010120220813286490
22,찜닭골목,안동또또찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 19,서부동,,,,안동또또찜닭,N,,08:30~22:00,,,,,,,,,,,,128.72815982473,36.5655531295233,MA0101202305A0120292
23,찜닭골목,안동양반찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 19,서부동,,054-858-4455,안동시 공식관광 맛집투어 수록 연락처,,Y,양반찜닭,08:30~22:00,,,,,,,,,,,,128.72815982473,36.5655531295233,MA010120220809636348
24,찜닭골목,안동영가찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 19,서부동,,054-854-3838,안동시 공식관광 맛집투어 수록 연락처,안동영가찜닭,Y,영가찜닭,08:30~22:00,,,,,,,,,,,,128.72815982473,36.5655531295233,MA010120220813447832
25,찜닭골목,대풍만두,간이,기타 간이,김밥/만두/분식,경상북도 안동시 번영길 21,서부동,,,,,N,,08:30~22:00,,,,,,,,,,,,128.728348645663,36.5655053401862,MA010120220809243489
26,찜닭골목,민속떡집,간이,기타 간이,떡/한과,경상북도 안동시 번영길 21,서부동,,,,,N,,08:30~22:00,,,,,,,,,,,,128.728348645663,36.5655053401862,MA010120220809256013
27,찜닭골목,시골찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 6,남문동,,054-856-9977,안동시 공식관광 맛집투어 수록 연락처,시골찜닭,Y,시골찜닭,08:30~22:00,,,,,,,,,,,,128.727367027751,36.5655646218875,MA010120220809256386
28,찜닭골목,총각찜닭,간이,기타 간이,치킨,경상북도 안동시 번영길 6,남문동,,054-858-9292,안동시 공식관광 맛집투어 수록 연락처,총각찜닭,Y,총각찜닭,08:30~22:00,,,,,,,,,,,,128.727367027751,36.5655646218875,MA010120220809256394
29,찜닭골목,구구찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 9,서부동,,054-854-9999,안동시 공식관광 맛집투어 수록 연락처,구구찜닭,Y,구구찜닭,08:30~22:00,,,,,,,,,,,,128.727604927924,36.565714348676,MA010120220809248372
30,찜닭골목,밀레니엄안동찜닭.안동대가찜닭,한식,한식,닭/오리고기 구이/찜,경상북도 안동시 번영길 9,서부동,1,054-855-5414,안동시 공식관광 맛집투어 수록 연락처,밀레니엄안동찜닭,Y,밀레니엄찜닭,08:30~22:00,09:00,21:00,N,연중무휴,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '밀레니엄안동찜닭'(contentid 134935, 수정일 2026-02-04) 원문: - 평일 10:00~21:00- 주말 09:00~21:00",128.727604927924,36.565714348676,MA010120220807433005
31,문화의거리,영양식당,한식,한식,백반/한정식,경상북도 안동시 문화광장길 16-19,남부동,,054-841-1182,지방행정인허가 일반음식점(영업중),영양식당,N,,10:00~22:00,,,,,,,,,,,,128.731359600336,36.563785728526,MA010120220809248493
32,문화의거리,더,주점,주점,일반 유흥 주점,경상북도 안동시 문화광장길 16-4,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730509385624,36.5637259933608,MA010120220812239736
33,문화의거리,베트남가요방,주점,주점,일반 유흥 주점,경상북도 안동시 문화광장길 16-4,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730509385624,36.5637259933608,MA010120220803278524
34,문화의거리,헬로우베트남쌀국수,기타,동남아시아,베트남식 전문,경상북도 안동시 문화광장길 16-4,남부동,,,,헬로우베트남쌀국수,N,,10:00~22:00,,,,,,,,,,,,128.730509385624,36.5637259933608,MA0101202411A0097609
35,문화의거리,홍초불닭안동 중앙점,주점,주점,요리 주점,경상북도 안동시 문화광장길 16-4,남부동,,054-857-7557,지방행정인허가 일반음식점(영업중),홍초불닭안동중앙점,N,,10:00~22:00,,,,,,,,,,,,128.730509385624,36.5637259933608,MA010120220809255259
36,문화의거리,아띠,기타,일식,일식 회/초밥,경상북도 안동시 문화광장길 16-5,남부동,2,,,아띠,N,,10:00~22:00,,,,,,,,,,,,128.730502439972,36.5639153101363,MA010120220802281903
37,문화의거리,안동팔도회관,한식,한식,백반/한정식,경상북도 안동시 문화광장길 16-7,남부동,1,,,안동팔도회관,N,,10:00~22:00,,,,,,,,,,,,128.730725958983,36.5639210749992,MA0101202511A0011891
38,문화의거리,그집설렁탕,한식,한식,국/탕/찌개류,경상북도 안동시 문화광장길 16-8,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730732904088,36.5637317582253,MA010120220811199186
39,문화의거리,지중해,주점,주점,일반 유흥 주점,경상북도 안동시 문화광장길 16-8,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730732904088,36.5637317582253,MA010120220809254249
40,문화의거리,도쿄라멘3900안동 중앙점,기타,일식,일식 면 요리,경상북도 안동시 문화광장길 18,남부동,,054-858-7004,지방행정인허가 일반음식점(영업중),도쿄라멘3900 안동중앙점,N,,10:00~22:00,,,,,,,,,,,,128.730571445104,36.5640044110729,MA010120220809251249
41,문화의거리,일석이조,주점,주점,요리 주점,경상북도 안동시 문화광장길 28-12,남부동,,054-841-3584,지방행정인허가 일반음식점(영업중),일석이조,N,,10:00~22:00,,,,,,,,,,,,128.731218356612,36.5644635512189,MA010120220809256790
42,문화의거리,중앙숯불구이,한식,한식,돼지고기 구이/찜,경상북도 안동시 문화광장길 28-12,남부동,1,054-842-1777,지방행정인허가 일반음식점(영업중),중앙숯불구이,N,,10:00~22:00,,,,,,,,,,,,128.731218356612,36.5644635512189,MA010120220813009796
43,문화의거리,동백식당,한식,한식,돼지고기 구이/찜,경상북도 안동시 문화광장길 28-7,남부동,1,,,동백식당,N,,10:00~22:00,,,,,,,,,,,,128.731028937055,36.5644843229136,MA010120220813474851
44,문화의거리,시내쫄면,간이,기타 간이,김밥/만두/분식,경상북도 안동시 문화광장길 30,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730770712481,36.5644250009182,MA010120220807363742
45,문화의거리,맘모스,간이,기타 간이,빵/도넛,경상북도 안동시 문화광장길 34,남부동,,054-857-6000,안동시 공식관광 맛집투어 수록 연락처,,Y,맘모스제과,10:00~22:00,09:00,18:00,N,설·추석 당일,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '맘모스베이커리'(contentid 1802913, 수정일 2026-09-10) 원문: 09:00~18:00 (마지막 주문 16:30)※ 설·추석 연휴기간에는 단축 영업함",128.73099925861,36.5646559492724,MA010120220808402469
46,문화의거리,하비에르,간이,기타 간이,빵/도넛,경상북도 안동시 문화광장길 34,남부동,1,,,,N,,10:00~22:00,,,,,,,,,,,,128.73099925861,36.5646559492724,MA010120220811775887
47,문화의거리,스트릿츄러스,간이,기타 간이,빵/도넛,경상북도 안동시 문화광장길 40,삼산동,1,,,,N,,10:00~22:00,,,,,,,,,,,,128.731105180734,36.5648976884889,MA010120220806428893
48,문화의거리,멕시코가요방,주점,주점,요리 주점,경상북도 안동시 문화광장길 40-10,남부동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.731457668005,36.5646763217503,MA010120220809257967
49,문화의거리,하림떡볶이앤밥,간이,기타 간이,김밥/만두/분식,경상북도 안동시 문화광장길 40-10,남부동,2,,,하림떡볶이앤밥,N,,10:00~22:00,,,,,,,,,,,,128.731457668005,36.5646763217503,MA010120220813880824
50,문화의거리,고기쟁이,한식,한식,돼지고기 구이/찜,경상북도 안동시 문화광장길 40-11,삼산동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.731599502878,36.5650256621563,MA010120220806686872
51,문화의거리,싼타페,카페,비알코올,카페,경상북도 안동시 문화광장길 40-11,삼산동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.731599502878,36.5650256621563,MA010120220810412048
52,문화의거리,옥류관면옥,한식,한식,냉면/밀면,경상북도 안동시 문화광장길 40-11,삼산동,,054-853-8484,안동시 공식관광 맛집투어 수록 연락처,옥류관면옥,Y,옥류관,10:00~22:00,,,,,,,,,,,,128.731599502878,36.5650256621563,MA010120220809243981
53,문화의거리,안동관,한식,한식,백반/한정식,경상북도 안동시 문화광장길 40-17,삼산동,,054-854-9933,안동시 공식관광 맛집투어 수록 연락처,안동관,Y,안동관,10:00~22:00,,,,,,,,,,,,128.731885596509,36.5648322895555,MA010120220809251827
54,문화의거리,아차가,간이,기타 간이,김밥/만두/분식,경상북도 안동시 문화광장길 40-5,삼산동,1,,,,N,,10:00~22:00,12:00,18:00,N,매주 월요일,2026-09-22,화,온라인,온라인 공식 자료(한국관광공사 TourAPI 음식점 상세 opentimefood·restdatefood) — 현장 확인 전,Claude(온라인),,"TourAPI 상호 '아차가'(contentid 4108680, 수정일 2026-09-08) 원문: 12:00~18:00 (젤라또 소진 시 마감)",128.731272872381,36.5649042631095,MA010120220803405510
55,문화의거리,버거킹안동 중앙점,간이,기타 간이,버거,경상북도 안동시 문화광장길 40-6,남부동,,054-842-1177,안동시 공식관광 맛집투어 수록 연락처,,Y,버거킹,10:00~22:00,,,,,,,,,,,,128.731290982152,36.5647147841756,MA010120220809260838
56,문화의거리,메가엠지씨커피안동문화의 거리점,카페,비알코올,카페,경상북도 안동시 문화광장길 49,삼산동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.730982043762,36.5653860319812,MA010120220809814001
57,문화의거리,노브랜드버거안동 중앙점,간이,기타 간이,버거,경상북도 안동시 문화광장길 52,삼산동,1,,,,N,,10:00~22:00,,,,,,,,,,,,128.731381409698,36.5652630977027,MA0101202212A0056644
58,문화의거리,팔공티 안동점,카페,비알코올,카페,경상북도 안동시 문화광장길 52,삼산동,1,,,,N,,10:00~22:00,,,,,,,,,,,,128.731381409698,36.5652630977027,MA0101202212A0041207
59,문화의거리,디저트39 삼산점,카페,비알코올,카페,경상북도 안동시 문화광장길 63,삼산동,1,,,,N,,10:00~22:00,,,,,,,,,,,,128.731415605663,36.5657942074138,MA0101202509A0002039
60,문화의거리,영타운단란주점,주점,주점,요리 주점,경상북도 안동시 문화광장길 67,삼산동,,,,,N,,10:00~22:00,,,,,,,,,,,,128.731442965182,36.5660190669272,MA0101202412A0088462
